ID,REAL_ID,LOCATION_ID_R,LOCATION_ID_L
OHT01,OHT302CR1,OHT302CR1,OHT302CR1
OHT02,OHT302CR2,OHT302CR2,OHT302CR2
OHT03,OHT302CR3,OHT302CR3,OHT302CR3
OHT04,OHT302CR4,OHT302CR4,OHT302CR4
OHT05,OHT302CR5,OHT302CR5,OHT302CR5
OHT06,OHT302CR6,OHT302CR6,OHT302CR6
OHT07,OHT302CR7,OHT302CR7,OHT302CR7
OHT08,OHT302CR8,OHT302CR8,OHT302CR8
OHT09,OHT302CR9,OHT302CR9,OHT302CR9
OHT10,OHT302CR10,OHT302CR10,OHT302CR10
OHT11,OHT302CR11,OHT302CR11,OHT302CR11
OHT12,OHT302CR12,OHT302CR12,OHT302CR12

