PORTSTATION_ID,STAGE_COUNT
OHT302A01,3
OHT302T01,2
OHT302T02,2
OHT302T03,2
OHT302T04,2
OHT302T05,2
OHT302T06,2
OHT302T07,3
OHT302T08,3

