ID,REAL_ID,LOCATION_ID_R,LOCATION_ID_L
OHT01,OHT301CR1,OHT301CR1,OHT301CR1
OHT02,OHT301CR2,OHT301CR2,OHT301CR2
OHT03,OHT301CR3,OHT301CR3,OHT301CR3
