PORTSTATION_ID,STAGE_COUNT
OHT301A01,1
OHT301A02,1
OHT301T01,5
OHT301T02,5
OHT301T03,5
OHT301T04,5
OHT301T05,5
OHT301T06,5
OHT301T07,5
OHT301T08,5
OHT301T09,5
